Covidence #,Study ID,Title,Reviewer Name,Title,Objective,Region Of Interest,Data Source,Modality,Segmentation Framework,Validation,Code Availability,Notes,Study Objectives,Spatial-Temporal Coherence,Number of Time Points,Registration Methods,Registration Template,Temporal Coherence Notes
2869,Valencia 2022,Evaluating the use of synthetic T1-w images in new T2 lesion detection in multiple sclerosis,Jacob Dyson,Evaluating the use of synthetic T1-w images in new T2 lesion detection in multiple sclerosis,"Investigate an approach to generate
synthetic T1-w images from T2-FLAIR images. Analyse the impact of using original and synthetic T1-w images on the performance of longitudinal segmentation model.",MS Lesions,VH Hospital Dataset,FLAIR; T1w,U-Net; Transformer (GAN); Registration,Sensitivity,No,Found an improvement when including synthetic T1-w images. Network simultaneously learns both deformation fields and the new T2-w lesion segments. ,MS Lesion,Registration,Variable,Affine,MNI Template,Registration before Applying DL methods. Network simultaneously learns both deformation fields and the new T2-w lesion segments
2588,Doborjeh 2021,Personalised predictive modelling with brain-inspired spiking neural networks of longitudinal MRI neuroimaging data and the case study of dementia,Jacob Dyson,"Personalised predictive modelling with brain-inspired spiking neural
networks of longitudinal MRI neuroimaging data and the case study of dementia",Build personalized predictive models from longitudinal brain data to understand functional brain state.,Brain MRI data,Patient,T1w,LSTM,Sensitivity,No,Personalised predictive modelling on a wide range of neuroimaging longitudinal data. Finding predictive markers for MCI and dementia as dynamic brain patterns using MRI data.,Other Brain Studies,LSTM,3,N/A,N/A,Captured temporal dynamic patterns in MRI by encoding temporal patterns into spikes.
2535,Zhan 2023,Learning from pseudo-labels: deep networks improve consistency in longitudinal brain volume estimation,Jacob Dyson,Learning from pseudo-labels: deep networks improve consistency in longitudinal brain volume estimation,Develop and validate a robust deep learning model to measure brain atrophy.,Brain Volume,Patient,T1w,U-Net; Registration,"",No," DeepBVC, was specifically developed overcome common
variances in resolution, signal-to-noise ratio and contrast ratio between baseline and follow up scans.",Other Brain Studies,Registration,2,Co-Registration,Base Line,Registration before applying deep learning methods
2483,Reza 2019,Cascaded Convolutional Neural Networks for Spine Chordoma Tumor Segmentation from MRI,Jacob Dyson,Cascaded Convolutional Neural Networks for Spine Chordoma Tumor Segmentation from MRI,Segment chordoma tumors in longitudinal MRIs and evaluate tumor growth over time.,Spine Tumor,Patient,FLAIR; T1w; T2w,Normal CNN,"",No,"Used two cascaded 3D CNNs. The first network learns
to detect all potential tumor voxels, the second network fine-tunes the classifier to distinguish true tumor voxels from the false positives",Other Medical Conditions,Registration,Variable,Rigid,Healthy Atlas,Registration before Applying DL methods
2420,Birenbaum 2016,Longitudinal Multiple Sclerosis Lesion Segmentation Using Multi-view Convolutional Neural Networks,Jacob Dyson,"Longitudinal Multiple Sclerosis Lesion
Segmentation Using Multi-view Convolutional
Neural Networks", Create a fully automated method for MS lesion segmentation.,Brain Lesion,ISBI 2015 dataset,FLAIR; T1w; T2w,Normal CNN,Dice,No,Reached human level segmentation performance on small dataset of 5 patients.,MS Lesion,Registration,2,Co-Registration,MNI Template,Images Registered before DL methods
2414,Li 2019,A Hybrid Deep Learning Framework for Integrated Segmentation and Registration: Evaluation on Longitudinal White Matter Tract Changes,Jacob Dyson,A Hybrid Deep Learning Framework for Integrated Segmentation and Registration: Evaluation on Longitudinal White Matter Tract Changes,Propose a novel hybrid convolutional neural network (CNN) that integrates segmentation and registration into a single procedure.,White Matter Tract,Rotterdam Study Dataset,DWI,Registration; U-Net Like,Dice,No,Optimizes both registration and segmentation of images together to enhance temporal coherence of model.,Other Brain Studies,Registration; Composite Loss Function,Variable,Affine (Elastix),Base Line,Optimizes both registration and segmentation of images together to enhance temporal coherence of model.
2380,Barbaroux 2023,Automated segmentation of long and short axis DENSE cardiovascular magnetic resonance for myocardial strain analysis using spatio-temporal convolutional neural networks,Jacob Dyson,"Automated segmentation of long and short 
axis DENSE cardiovascular magnetic resonance 
for myocardial strain analysis using spatio-
temporal convolutional neural networks",develop a spatio-temporal deep learning model for segmentation of the left-ventricular (LV) myocardium,left-ventricular (LV) myocardium,Patient,Customised,U-Net Like,Dice; Hausdorff Distance,No,"Re-implemented and simplified nnU-Net using the 
MONAI library. Uses temporal model to leverage temporal redundancies and remove segmentation artifacts.",Other Brain Studies,"",Variable,N/A,N/A,"A phase-unwrapping algorithm (spatiotemporal quality-guided path 
following) was then performed on the myocardial pixels, 
and Langrangian displacement and strain values were cal-
culated"
2373,Li 2021,Learning unbiased group-wise registration (LUGR) and joint segmentation: evaluation on longitudinal diffusion MRI,Jacob Dyson,"Learning unbiased group-wise registration (LUGR) and joint
segmentation: evaluation on longitudinal diffusion MRI",Simultaneous Segmentation and Registration for Longitudinal analysis of Brain MRIs,White Matter Tracts,Rotterdam Study Dataset,DWI,U-Net; Registration,Dice,No,Uses a joint optimization loss function to register and segment images together.,Other Brain Studies,Registration; Composite Loss Function,Variable,Affine,unbiased within-subject template,Constructs an unbiased within-subject template. Constraint optimization for learning a mean space in group-wise registration. Joint optimization loss function.
2370,Wei 2021,Consistent Segmentation of Longitudinal Brain MR Images with Spatio-Temporal Constrained Networks,Jacob Dyson,Consistent Segmentation of Longitudinal Brain MR Images with Spatio-Temporal Constrained Networks,Spatio-temporal constrained deep learning model for consistent longitudinal segmentation based on limited labeled cross-sectional data with semi-supervised learning,Right Hippocampus,ADNI,T1w,V-Net,Dice,No,"Supervised learning to build initial ROI segmentation model by using labeled cross-sectional images, and semi-supervised learning to improve the initial model by using unlabeled longitudinal images with spatio-temporal constraint. Both segmentation smoothness and temporal consistency are imposed in the loss function",Other Brain Studies,Registration; Composite Loss Function,2,Rigid,Base Line,"consistent longitudinal segmentation based on limited
labeled cross-sectional data with semi-supervised learning. Segmentation smoothness and temporal consistency are imposed in
the loss function"
2366,Birenbaum 2017,Multi-view longitudinal CNN for multiple sclerosis lesion segmentation,Jacob Dyson,Multi-view longitudinal CNN for multiple sclerosis lesion segmentation,Utilize longitudinal data to monitor white matter tracts and MS lesions,Brain Lesions,2015 Longitudinal MS Lesion Segmentation Challenge dataset,FLAIR; T1w; T2w,Normal CNN,Dice,No,Achieves human level performance using only 5 patients. Uses CNN to find false positives.,MS Lesion,Registration,2,Co-Registration,MNI Template,Registration before applying DL techniques
